Document ID,Chapter,Sub-topic,Context,Grade
1,Sources of Studying History,Classification of Sources,"History is a subject which studies the past human activities. When we study the history of hundreds and thousands of years back, we find writings and various creations made by people who lived in those ages. They are called ‘sources’ because information about past human activities can be extracted from them. The sources, which belonged to each different age, provide us a good understanding about those eras and their social backgrounds. Thus, when the information taken from those sources are studied logically, the history about people’s lives in each period is formed. As there are a number of sources which are available to study history, they are mainly divided into two; 1. Literary sources and 2. Archaeological sources. Literary sources are writings made during different time periods by the people who lived in the past. Relics, monuments, coins, inscriptions and various ruins which are unearthed from archaeological excavations and experiments are called ‘archaeological sources’.1. Literary Sources: The literary sources used to study the history of Sri Lanka can be categorized into ‘local literary sources’ and ‘foreign literary sources’. Local sources are texts written by Sri Lankans in the form of prose and poetry from about two thousand years ago. Foreign sources are books written by foreigners interested in Sri Lanka or those containing information about Sri Lanka.Local Literary Sources: ‘Deepawamsa’ is considered the oldest text, written in about 4th century A.D., consisting of historical information up to the end of King Mahasen’s ruling period and descriptions of the Buddhist order (Sasana).Mahawamsa was composed later as a historical chronicle with fewer mistakes than Deepawamsa. The first part was written by a Bhikku named ‘Mahanama’ in about 5th or 6th century A.D. Other writers extended it as a continuous text. Mahawamsa is considered credible as events are substantiated by inscriptions.Wansattappakasini (Mahawamsa Teekawa) is an annotation written in Pali about four centuries later. Other examples include: Sandesha Kawya (Mayura, Thisara, Selalihini), Prashasthi Kawya (Perakumba Siritha), and Hatan Kawya (Seethawaka Hatana, Constantinu Hatana, Ingirisi Hatana). Buddhist religious texts include Bodhiwamasa, Thupawamsa, Dhatuwamsa, Poojawaliya, and Saddharmalankaraya. Nikaya Sangraha and Rajawaliya are important for the Gampola to Kotte period.Foreign Sources: Many foreigners engaged in trade or travel wrote about Sri Lanka. Examples of accounts by those who visited: Fa-Hsien Thero (Account on Buddhist Kingdom), Iban Batuta (travelling accounts), Ribeiro (Ribeiro's Lanka History), Phillippus Baldaeus (The Sri Lankan Chronicle of Baldaeus), and Robert Knox (An Historical Relation of the Island Ceylon). Examples of records based on information from others: Greek sources (Aristotle, Megasthinis), Roman sources (Plini, Ptolemy's Geography and Map), and Chinese sources (Hsuan-Tsang Thero).Uses of Literary Sources: 1. To prepare historical chronology. 2. To obtain information about political, economic, and social affairs. 3. To substantiate information with other sources. 4. To study international relations. Attention must be paid to the time of writing, the author, their objectives, and the facts' origin.2. Archaeological Sources: These include epigraphy, coins, ruins, drawings, sculptures, and antiquities.Epigraphy: Introduced as writings on stones (Shila), clay slabs, walls, copper plates, golden plates, wood, and urns. Inscriptions (Sellipi) are categorized by stone shape: cave, rock (Giri Lipi), pile (Tam Lipi), slab (Puwaru Lipi), and seat (Asana Lipi). The oldest are ‘Brahmi inscriptions’. Media examples: Galpotha inscription (stone), Sigiriya graffiti (walls), Panakaduwa copper plate of King Vijayabahu I (copper), and Vallipuram golden plate.Coins: Used since the Anuradhapura era. Oldest are ‘Kahapana’ (also called ‘Purana’ and ‘Dharana’). Others include Swastika, Lakshmi, and golden ‘Aka’ coins. Copper ‘Thamba Massa’ was used during the Polonnaruwa kingdom. Numismatics is the study of ancient coins.Ancient Ruins: Buildings, stupas, stone pillars, tanks, and ponds (e.g., Galpotha inscription by King Nisshankamalla). These show creative ability, technology, and water management.Drawings, Sculpture and Antiquities: Frescoes in Sigiriya provide information on clothes, jewelry, and hairstyles. Antiquities help understand technology, foreign relations, and lifestyle. Archaeological sources are mostly contemporary to the events and help fill gaps in literary sources.",10
2,Sources of Studying History,Importance of Learning History,"History is a subject which is linked with the study of sources. It could be studied with curiosity too. Therefore, one who studies history naturally tends to read books. Since the reader comes across with diverse facts, ideas, and opinions in reading books, his or her critical sense gets developed. Therefore, he or she tends to think of anything with a logical mind and this will help him or her to understand the problems properly. When the problems are understood properly, he or she will tend to find solutions to those problems creatively. Therefore, when one learns history, it helps him or her to develop his or her personality. Apart from these, one will gain the benefits given below by studying history. 1. Proper understanding of society and the world in which one lives. 2. Constructing future by understanding the present through the past experiences. 3. Recognizing the national identity. 4. Building up national reconciliation by loving humanity. 5. Respecting others’ cultures. 6. Tolerating different views.",10
3,Sources of Studying History,Protecting Archaeological Sources,"When we consider the long history of Sri Lanka, expansion of ancient population, and the number of people who had lived in this country, what remains here for us as archaeological sources today is only the creations made of long lasting raw materials such as stone, metal and clay; or large scale creations such as tanks and canals. There is a possibility of these valuable sources getting destroyed due to speedy urbanization, expansion of settlements, constructing roads, constructing buildings, and agricultural activities happening in the country. Today we see historical places, monuments and antiquities because our ancestors had protected them. Therefore, it is a responsibility of the citizens of the country to protect them as the present generation. There are different types of ancient marks inscribed on the rocky surfaces in various areas in Sri Lanka. Among them various figures such as, Sun and Moon, Palmyra- fan, bow, arrow, conch, ox-hoof, tusker- step, figures of various animals are marks that show the ancient borders of areas; or they are an ancient form of communication as the present road signs. Some people dig out and destroy the places where there are these marks and moonstones, guard stones, stone pillars and other antiquities by misunderstanding that the treasures have been deposited in such places. These activities and other activities like scribbling and drawing pictures in historical places and on the antiquities will pave the way to destroy the antiquities. It is a punishable offence according to the law of the country. Therefore, you should be determined to protect the antiquities as the students who have understood the value of them. Important Facts Summary: The things that help learn history are called sources. Sources are divided into two as literary sources and archaeological sources. Books and documents belong to the literary source category and ruins and various antiques are archaeological sources. We can realize how our ancestors faced various experiences by learning history. Through that one can get the knowledge necessary to face the same problems at present. History of a country reflects the identity of the citizens who live in that country",10
4,Ancient Settlements,Settlements in the Pre-historic Era,"The period which was before the past that is described by the literary sources is commonly named as ‘the pre-historic era’. Two cultural stages belonged to the pre-historic era of Sri Lanka; the first one was the Stone Age which existed for a long time; the second was the period in which there was more tendency of man towards depending on herbal food, use of metals and the beginning of living in permanent settlements. Among these, the word prehistoric era is used to introduce the Stone Age and the word proto-historic era is used to introduce the second period.Expansion of Settlements: Settlements in Sri Lanka were made by the early Homo Sapien man. Homo Sapien expanded his living in a wide geographical area by adapting himself to different climatic zones. Their main dependency method was gathering food by roaming and hunting. Evidence belonging to the Stone Age is found in Rathnapura gem mines (soil layers called lode about 90 feet deep) and the Iranamadu formation in the semi-arid zone. The community lived in 6 main environmental zones: (A) Semi-arid zone (B) Lowland dry zone (C) Lowland intermediate dry zone (D) Wet Zone (E) Mountainous dry intermediate zone (F) Arid zone. Rainfall levels decided these zones, affecting food and technology. For example, lowland wet zone communities used land oysters, while dry zone communities hunted deer and iguana.Time Periods: Evidence from Pathirajawela (Hambanthota) is 125,000 years old. Bundala, Wellegangoda evidence is 80,000 years old. The Stone Age existed continuously from 125,000 years up to minimum 1800 B.C. Key dated sites: Pahiyangala (38,000 years), Kuruwita Batadombalena (28,000 years), Kitulgala Belilena (15,000 years), Bellanbendipelassa (12,000 years), Attanagoda Alulena (10,350 years), Maniyamgala (7,900 years), Sigiriya Pothana (5,800 years), Sigiriya Aligala (5,500 years), Udamalala (5,330 years), and Mathota (3,800 years).Key Features of Settlements: They preferred areas with abundant water and stones for tools. They lived in open areas in the dry season and natural caves during rainy seasons. Habitations include: 1. Outdoor camps (Minihagalkanda, Bundala, Pathirajawela), 2. Lowland wet zone caves (Pahiyangala, Batadombalena, Kithulgala Beli Lena), 3. Lowland dry zone caves (Pothana, Aligala), 4. Outdoor camps in lowland wet zone (Bellanbendipelessa), 5. Hillside hunting places (Bandarawela, Horton plains).Life Style: They lived a nomadic life in small groups (15-25 members, max 50). An area of 50 sq. m was enough for 5 members. Dead bodies were sometimes buried inside caves or in pits covered with garbage. 12 skeletons were found in Belilena, 30 in Bellanbendipelessa, and 9 in Pahiyangala.Food Style: They hunted animals like gaur, buffalo, black bear, wild boar, deer, porcupine, hare, and monkeys. They ate fresh water fish and land snails/oysters. To get starch, they ate wild breadfruit (baked 12,500 years ago in Kithulgala), wild plantains, yams (Gonala, Katuala), and seeds of Kithul. They traveled to coastal areas to get salt.Technology: Stone tools are the primary evidence. Geometric micro stone tools (not more than 4.5 cm) were made of quartz and 'Kahanda' stones. These were used for hunting, cutting, scratching, and digging. Granite was used for hammers and grinding stones.Physical Body and Rituals: Average male height was 174 cm; female 166 cm. Brain size was 1600 cm³ (male) and 920 cm³ (female). Lifespan was 35-40 years. Rituals included painting skeletons with red ochre (Rawana Ella and Pahiyangala), suggesting secondary burial practices. Biological similarities exist between Stone Age people and the Vedda community.",10
5,Ancient Settlements,Settlements in Proto-historic Era,"The period between the end of the prehistoric era and the beginning of the historic era is named as the proto-historic era. Technologically, this was an era of transition. It is differentiated from the prehistoric era by several facts: the use of burnt pots, a methodical burial system, and the replacement of stone tools with iron technology. This age is also called the proto-historic Iron Age or the early Iron Age. This period saw the beginning of building permanent settlements and the start of agriculture.The Origin of the Proto-historic Era: The transition from stone tools and nomadic hunting to iron use and plant-based dependency was likely caused by long-term geographical and climatic changes. Between 7000 – 4500 B.C. (Holocene era), a temperature increase following the Ice Age created an environment suitable for agriculture, leading to population growth and a new social style. The oldest proof of this era in Sri Lanka dates to 2400 B.C., with significant evidence found in Sabaragamuwa and Uva provinces.
Burial Traditions: Megalithic burials are a prominent source for studying this culture. Cist burials (stone splinters shaped as squares and covered with huge stone slabs containing pots of human remains) have been excavated at Ibbankatuwa (near Dambulla), Galsohonkanaththa (Yapahuwa), and Yatigalpoththa (Galewela), dating between 750 and 450 B.C. Urn burials involve remains deposited in clay urns. In Beragala and Haldummulla, a unique method involved clay tub burials or boat-shaped tubs where human skeletons were cremated, causing the clay tubs to be well-burnt and preserved.The Nature of the Settlements: People abandoned nomadic hunting for sedentism (permanent settlements). A rectangular house (10.20m X 6.80m) discovered in Udaranchamadama (Rathnapura district) in 2009 provides key evidence. It featured wattle and daub walls, an 'Iluk' thatched roof, and internal partitions.Life Style: Excavations in Udaranchamadama revealed houses from 3000 years ago containing painted potsherds (red lines on a white background) made using a potter’s wheel. Kitchen tools included both stone and iron tools, suggesting iron was a new experience. Remains of deer, cattle, wild boar, and giant squirrel indicate that while they practiced agriculture, they had not abandoned hunting. Evidence of personal beautification includes clay beads, an iron stick for applying kohl to eyes, and ochre stones (yellow and red) used for body coloring along with grinding stones.Technology: This era marked the transition from stone to metal technology and advanced pottery. Iron allowed for efficient clearing of jungles, digging, and ploughing. House-building technology evolved, including sinking-resistant foundations and leveled walls. The presence of clay beads indicates a highly skillful beads-making technology.",10
6,Ancient Settlements,Settlements in Early Historic Era,"The early historical period was between 450 B.C. and 300 A.D. During this time, the expansion of small village tanks served as the main index for settlement growth. Most settlements were located close to a tank, typically at one end of the tank bund.Factors Influencing Expansion: Geophysical factors such as annual rainfall (1000–1250 ml in the dry zone), fertile red-brown soil, and natural drainage were prominent. Settlements initially expanded outside overflowing river valleys because early people lacked the technology to control catastrophic annual floods. It was not until the end of the 1st century B.C. or 1st century A.D. that technology like anicuts (Avarana/Amuna) allowed for flood control and water diversion to tanks. For example, King Ilanaga (33–43 A.D.) built an anicut across the Kirindi River.Structure and Nature of Settlements: Independent settlements centralized around rain-fed tanks were called ‘Vapigama’ (e.g., Sumanavapigama). Villages were often separated by jungle belts. Specific professional villages included: 1. Kasikaragama (farmers), 2. Manikaragama (gem miners), 3. Gopalagama (cowherds), 4. Kewattagama (fishermen), 5. Kumbhakaragama (potters), and 6. Vadtakigama (carpenters). Other types included Pattanagama (harbour villages), Niyamgam (trading villages), and Olagam (deserted villages). Small villages were roughly 0.15 hectares with 5–6 families, while urban settlements exceeded 2 hectares. By the 6th century A.D., Magama had a population of 35,000. Fenced villages were known as ‘Parikkitta Gam’.Urban and Administrative Organization: Large urban settlements were called ‘Pura’ (e.g., Anuradhapura/Nurupura). Architects were known as ‘Pura Kamatha’. Intermediate settlements between cities and villages were called ‘Nakara’ or ‘Nagara’. Administratively, a family was represented by a chief householder known as ""Gahapathi"". A village chief was called ‘Gamika’ or ‘Gramika’. Issues involving groups of ten villages were solved by a panel called ‘Dasa Gam Eththan’.Housing and Subsistence: Excavations in Anuradhapura and Tissamaharamaya reveal houses with round or square foundations, wattle and daub walls, and thatched roofs. In Walagampaththuwa, a 3rd-century A.D. house featured a clay-applied floor. For subsistence, people initially relied on chena cultivation of drought-resistant crops like Kurakkan, Meneri, sesame, and Thanahal. As the population grew, they transitioned into river valley settlements and more intensive tank-based agriculture.",10
7,Evolution of Political Power in Sri Lanka, Pre-state Era," The period before Sri Lanka became a centralized state is known as the pre-state era. During this time, there was no single ruler; instead, power was decentralized among wealthy chieftains who ruled small areas. These chieftains were known as 'Parumaka' (derived from the Sanskrit 'Pramukha', meaning 'main'). Their power was based on the wealth they possessed.Householders (Gahapathi): By 900 B.C., rural settlements consisted of 1 to 30 families, referred to as 'Kula'. The chief of each family was the 'Gruhapathi' or 'Gahapathi'. Inscriptions (e.g., Periyapuliyankulama) show these householders engaged in trade and religious offerings, representing their families in common village activities.The Gamikas: The chiefs of ancient villages were called 'Gramika' or 'Gamika'. Villages were separated by jungle belts, and the Gamika acted as the representative for marriages, trade, and problem-solving between villages. They were typically the wealthiest householders, capable of lending resources like paddy to others. Their leadership included maintaining village tanks and managing water distribution. Inscriptions at Sithulpawwa show Gamikas from different villages collaborating on religious offerings, highlighting early political co-existence.The Evolution of Parumakas: The emergence of Parumakas is closely linked to the maintenance of 'Ellangawa' or 'prolapsed tank systems'. As the population grew and required more water for agriculture, independent village tanks were connected via canals to conserve overflowing water. This required the chiefs of several villages to coordinate. The most powerful person among the Gamikas who made decisions for the entire tank system was called a Parumaka.Growth of Kingship: Some Parumakas became so powerful they took the title of 'King' (e.g., Pochani Raja in Matale). Centralization began when decentralized power was brought under one ruler, forming a state. King Pandukabhaya is considered the first king to achieve this by capturing areas from provincial rulers, establishing Anuradhapura as the capital, and marking rural borders. This need for a unitary state was further driven by international trade (gems, tuskers, spices) in the Indian Ocean. King Devanampiyatissa used religious and diplomatic ties (Emperor Ashoka) to unify regional rulers. King Dutugemunu is credited with formally uniting the whole country by combining the decentralized Parumakas. King Wasabha further strengthened centralization by establishing administrative districts managed by ministers (e.g., Minister Srishigiri ruling Nagadeepaya/Jaffna).",10
8,Evolution of Political Power in Sri Lanka,The Concept of State,"The king, created by the centralized political power, is an extremely powerful person and appeared before the people in a majestic form to win their trust. Even kings of foreign origin, such as Elara and Nisshankamalla, acted in this way to secure legitimacy.Concepts of Kingship: Different concepts were applied to kings to show their superiority and nobleness: 1. Devathwa (Godhood): King Kutakanna Abhaya introduced himself as ‘Nareshvara’ (God Eeshwara for humans). King Mahasen was worshipped as the 'God of Minneri' for his irrigation works. 2. Parvatharaja: Kings appeared as the ""King of the Mountain."" King Kashyapa I appeared as the god Kuwera (God of wealth) and called himself ‘Alakapaya Maha Raja,’ likening Sigiriya to Alakamanda, the rock-abode of Kuwera. 3. Bodhisathwa: This reflected the king's responsibility to rule justly for the people's benefit and warranted the people's respect. 4. Chakrawarthi (Sakvithi): Meaning ""dominating the whole world,"" used by 8th and 9th-century rulers like King Nisshankamalla (Kalinga Chakrawarthi). These titles created a conceptual background for righteous ruling.Inheritance of Kingship: Kingship typically passed from brother to brother (e.g., Devanampiyatissa to his brothers; Dutugemunu to Saddhatissa) or from father to son (e.g., Kawantissa to Dutugemunu; Vasabha to Vankanasikatissa). The eldest son of the king or the chief consort was usually the heir. Deviations often led to conflict, such as King Kashyapa usurping the throne from his father King Dhathusena because prince Mugalan (the consort's son) was the rightful heir. In the absence of an heir, it could pass to a brother of the consort or a sister’s son.Statecraft and Administration: After centralization, the head was called ‘Maha Raja’ or ‘Mapurumuka’ (Mahaparumaka). The official structure developed to support administration included:
1. Maha Raja (Mapurumuka) - The King
2. Maha Emathi (Mahamatha) - Chief Minister
3. Emathiwaru (Ametha) & Shenapathi - Ministers and Commanders
4. Bhandagarika (Badagarika) - Treasurer
5. Bathagu - Officer in charge of the Dining Hall
6. Kothuruge na - Officer in charge of customs
7. Nagaragutika & Nagara Wudika - City Administrator and Architect
8. Asa Adeka - Officer in charge of horses
9. Hathi Adeka - Officer in charge of tuskers
10. Nata Adeka - Officer in charge of dramas/arts
11. Rupa Adeka - Officer in charge of making coins
12. Pana Adeka - Officer in charge of trades
13. Kanapedika - Officer in charge of archives. This structure ensured the organized administration of the country for the benefit of the common people.",10
9,Evolution of Political Power in Sri Lanka,Great Kings Who ruled This Country,"This section discusses the contributions of key rulers who transitioned Sri Lanka from decentralized power to an efficient centralized state, particularly to benefit from international trade in the Indian Ocean.King Dutugemunu: Highlighted as the ruler who properly organized political power. He understood the need to save the Mathota international harbour from King Elara (who had usurped power in Anuradhapura) and unite the country. Advised by his father, King Kavantissa, he led the first organized fighting movement. He famously stated his fight was not for personal comfort but for the benefit of Buddhism. After the battle, he demonstrated statesmanship by ordering respect for Elara's tomb. His greatest political contribution was combining the decentralized Parumakas under his authority as 'Maha Raja'. He maintained a responsibility for public welfare, such as paying workers at the Ruwanweli Stupa and running alms halls (Dan Sel).King Vasabha: The first ruler of the Lambhakarna dynasty. He regulated internal administration by dividing the country into provinces and systemizing tax collection, as evidenced by various inscriptions. Vasabha pioneered large-scale tank construction, building sixteen tanks to meet the high demand for grain in South India (specifically the Krishna River valley). This far-sighted investment addressed both regional and international needs. He also provided significant financial support to reconstruct decayed Buddhist temples and supply facilities to Bhikkus.King Vijayabahu I: A great ruler who ended a long period of Chola rule from South India through a planned war movement. Born as Prince Keerthi in Ruhuna, his family was protected by the officer Sithnarubima Budhal Na (recorded in the Panakaduwa copper plate). His actions protected the ""territorial integrity"" of the country. After uniting the country, he renovated Buddhist temples and moved the capital from Anuradhapura to Polonnaruwa. This strategic shift was made to facilitate trade with Eastern India and to better control the Gokanna Thiththa (Trincomalee) harbour. His leadership preserved the sovereignty of the country for centuries until the arrival of Europeans.",10
10,The Ancient Society of Sri Lanka,The Nature of Ruling,"Historical sources and inscriptions provide vital information on the statesmanship of ancient Sri Lanka. Governance was handled by three main functions: the legislature (law-making), the executive (implementing laws), and the judiciary (justice). In ancient monarchism, the king’s court served as both the executive and legislature. The 9th-century term 'Ekthensamiya' (Agreement of the King’s Court) referred to this combined power. The king’s decree was known as 'Wathhimi wadala'.Administrative and Judicial Structure: The 'Sabhawa' (Council) functioned as the judiciary. Inscriptions from Anuradhapura show officers representing the Sabhawa to legally grant government land. The term 'Mahale' (Great Writer/General Secretary) referred to officials who documented governmental affairs, such as 'Mahale Kasba' during the reign of King Sena II. For provincial administration, the central government appointed ministers to outer areas, such as Minister Rishigiri ruling Nagadeepa under King Vasabha (Vallipuram golden plate). Minor local administration was handled by independent councils called 'Dasagam Ettan', representing ten villages.Public Welfare and Healthcare: Rulers prioritized the health of the public. Ancient hospitals were called 'Vejjasala', and doctors were known as 'Veja'. Notable contributions include:1. King Buddhadasa: Built many hospitals.
2. King Upatissa I: Built maternity hospitals called 'Paswantinama Sala' (also known as 'Thimbirige' or 'Sottisala').
3. King Kashyapa IV: Built a specialized hospital for a dangerous fever ('Upasaggaroganasa').
4. King Mahinda V: Provided facilities for provincial hospitals.Foreign Relations: Sri Lanka maintained diplomatic and trade relations with India, Araby, China, and Europe. King Gajabahu I visited the Chera state in South India for the opening of a 'Pattini' Devala. King Bhatikabhaya sent ambassadors to Rome ('Romanuka Desha') to fetch glass pebbles for Ruwanweli Seya. During the 8th and 9th centuries, relations with China were strong, particularly under King Aggabodhi VI. Marital relations were also used to stabilize political power; King Vijayabahu I married the Kalinga princess Thilokasundari. Despite language and religious differences, trust was maintained, evidenced by Vijayabahu I appointing the South Indian 'Veleikkara' mercenary army to protect the Temple of the Tooth. Arab historians like Al-Balasuri record that the king of the 'Ruby Island' (Sri Lanka) exchanged gifts with Islamic kings to secure trade in the Indian Ocean.",10
